Scenario,Model,lambda,Regression,AmericanPut,AmericanSE,EuropeanPut,EuropeanSE,EarlyExercisePremium,EarlyExerciseRate,AvgLOWESSFrac,terminal_mean,terminal_std,terminal_q05,terminal_q50,terminal_q95
A1,GBM,0.0,polynomial,2.327482170262736,0.038850573919588495,2.066401004420346,,0.2610811658423904,0.3708,,42.25741044982514,8.439271388929777,29.839213933937593,41.43975756003008,57.366436891016654
A2,Jump-diffusion,0.05,polynomial,2.4285824406469305,0.041399700173416244,2.2054451235139827,0.04947409346685034,0.22313731713294782,0.3948,,42.24375758968139,8.769389956771635,29.49631698460885,41.445754637079375,57.95433391499988
B1,Jump-diffusion,0.05,polynomial,2.3571424019335394,0.04076959102641522,2.0734656020092994,0.046997273489074905,0.28367679992424,0.3668,,42.472822704149316,8.669169689825976,29.954641058101128,41.4564797944842,58.18382742484543
B2,Jump-diffusion,0.05,LOWESS_GCV,2.4177871581563037,0.04160827312315443,2.0734656020092994,0.046997273489074905,0.3443215561470043,0.4392,0.09999999999999999,42.472822704149316,8.669169689825976,29.954641058101128,41.4564797944842,58.18382742484543
