scenario,model,regression,span_method,step,time,boundary_mean,boundary_sd
B2_fixed,Jump-diffusion,lowess,fixed,6,0.12,32.61176655727018,2.3855619640678416
B2_fixed,Jump-diffusion,lowess,fixed,7,0.14,28.974012278115275,1.6550647666675475
B2_fixed,Jump-diffusion,lowess,fixed,8,0.16,28.684612581999257,4.270108626542587
B2_fixed,Jump-diffusion,lowess,fixed,9,0.18,28.607725233911015,4.620379455523446
B2_fixed,Jump-diffusion,lowess,fixed,10,0.2,33.761668011257164,0.7735222926002361
B2_fixed,Jump-diffusion,lowess,fixed,11,0.22,31.951475522644586,0.6378615452519174
B2_fixed,Jump-diffusion,lowess,fixed,12,0.24,31.390771569659726,3.196882382745929
B2_fixed,Jump-diffusion,lowess,fixed,13,0.26,31.600838551463266,3.252750668021109
B2_fixed,Jump-diffusion,lowess,fixed,14,0.28,29.156699637360354,3.054188555429393
B2_fixed,Jump-diffusion,lowess,fixed,15,0.3,32.287702479545686,1.942009058685045
B2_fixed,Jump-diffusion,lowess,fixed,16,0.32,30.82980104284112,1.7873078578287598
B2_fixed,Jump-diffusion,lowess,fixed,17,0.34,30.166354020726516,2.0954834882488904
B2_fixed,Jump-diffusion,lowess,fixed,18,0.36,29.221019352460456,4.188060284156423
B2_fixed,Jump-diffusion,lowess,fixed,19,0.38,29.840856854640375,2.5582564304147457
B2_fixed,Jump-diffusion,lowess,fixed,20,0.4,29.788568648929132,2.3527029102293757
B2_fixed,Jump-diffusion,lowess,fixed,21,0.42,31.96012220024482,0.7874990494455362
B2_fixed,Jump-diffusion,lowess,fixed,22,0.44,29.918309951944735,1.931162473859151
B2_fixed,Jump-diffusion,lowess,fixed,23,0.46,29.639524562324603,4.834642886190823
B2_fixed,Jump-diffusion,lowess,fixed,24,0.48,31.601842810227417,3.180425509432205
B2_fixed,Jump-diffusion,lowess,fixed,25,0.5,27.850993711260458,3.647644948175852
B2_fixed,Jump-diffusion,lowess,fixed,26,0.52,29.985298344806676,1.663592590482522
B2_fixed,Jump-diffusion,lowess,fixed,27,0.54,30.16454260235322,3.170228085320009
B2_fixed,Jump-diffusion,lowess,fixed,28,0.56,29.35753919828307,1.7702733985988013
B2_fixed,Jump-diffusion,lowess,fixed,29,0.58,28.29257978118229,3.30588086615363
B2_fixed,Jump-diffusion,lowess,fixed,30,0.6,27.21406637211312,4.488982290872883
B2_fixed,Jump-diffusion,lowess,fixed,31,0.62,27.9359200514936,2.360843614569965
B2_fixed,Jump-diffusion,lowess,fixed,32,0.64,29.845764459147183,2.4283201270220873
B2_fixed,Jump-diffusion,lowess,fixed,33,0.66,26.650263645022257,2.84193935007436
B2_fixed,Jump-diffusion,lowess,fixed,34,0.68,27.129572831979782,4.124085210879331
B2_fixed,Jump-diffusion,lowess,fixed,35,0.7000000000000001,28.241259033693247,4.832575403470456
B2_fixed,Jump-diffusion,lowess,fixed,36,0.72,28.41459611903357,1.857387649062328
B2_fixed,Jump-diffusion,lowess,fixed,37,0.74,29.074286886634262,0.8992204026774154
B2_fixed,Jump-diffusion,lowess,fixed,38,0.76,29.661494504336655,1.2288074558226871
B2_fixed,Jump-diffusion,lowess,fixed,39,0.78,30.313912949054508,2.758681144788251
B2_fixed,Jump-diffusion,lowess,fixed,40,0.8,26.29642315938304,5.5943919696578766
B2_fixed,Jump-diffusion,lowess,fixed,41,0.8200000000000001,29.011875992999585,1.0220461359405895
B2_fixed,Jump-diffusion,lowess,fixed,42,0.84,28.247078249897754,3.854179169579396
B2_fixed,Jump-diffusion,lowess,fixed,43,0.86,25.570863564757374,3.1594745121046697
B2_fixed,Jump-diffusion,lowess,fixed,44,0.88,27.421943637171335,4.0795856044615055
B2_fixed,Jump-diffusion,lowess,fixed,45,0.9,28.616529269107183,5.246652651877595
B2_fixed,Jump-diffusion,lowess,fixed,46,0.92,27.52424607419822,2.6301757154018635
B2_fixed,Jump-diffusion,lowess,fixed,47,0.9400000000000001,30.575246529447686,4.8329006829805
B2_fixed,Jump-diffusion,lowess,fixed,48,0.96,27.77498164647161,2.80387714104197
B2_fixed,Jump-diffusion,lowess,fixed,49,0.98,26.952038863896668,5.399792562442322
