lambda,T,poly_price,poly_se,lowess_price,lowess_se,price_diff_lowess_minus_poly,,
0.05,1,6.167153317,0.104425701,6.303149115,0.105335995,0.135995798,,
0.05,3,9.169103073,0.144590296,9.335734236,0.148747727,0.166631163,,
0.05,5,10.30117473,0.157738931,10.56534344,0.158257446,0.264168712,,
0.2,1,6.650502023,0.115759883,6.749563232,0.113663539,0.099061208,,
0.2,3,9.723660921,0.150820422,9.93447202,0.156887362,0.210811099,,
0.2,5,11.2169834,0.17266793,11.47462951,0.173441965,0.25764611,,
0.5,1,7.424247904,0.132395695,7.575213051,0.132550323,0.150965147,,
0.5,3,11.17586993,0.184632909,11.37150704,0.185854748,0.19563711,,
0.5,5,13.40581979,0.201588088,13.59641423,0.200979487,0.190594445,,
