scenario,model,lambda,regression,span_method,american_mean,american_sd_across_reps,avg_mc_se,european_mean,eep_mean,ci95_halfwidth
A1,GBM,0.0,polynomial,fixed,2.347211517139581,0.05742225825638322,0.061834702773081396,2.066401004420346,0.2808105127192352,0.05033282857006599
A2,Jump-diffusion,0.05,polynomial,fixed,2.4108945589051864,0.05293169927011092,0.0652109371223232,2.1495933398615135,0.2613012190436731,0.04639668007115725
B2_cv,Jump-diffusion,0.05,lowess,cv,2.4728633741642776,0.05475521455267562,0.06710711405157646,2.1495933398615135,0.3232700343027643,0.04799506169004842
B2_fixed,Jump-diffusion,0.05,lowess,fixed,2.4539311557381773,0.04734406980640759,0.06649449801659434,2.1495933398615135,0.30433781587666375,0.04149890690010009
